domain_name,target_series,stage_order,forecast_stage,selected_model,n,mean_delta_squared_error,median_delta_squared_error,squared_error_lv_win_share,hac_bw_sq,hac_se_sq,hac_z_sq,hac_p_sq,mean_delta_abs_error,median_delta_abs_error,abs_error_lv_win_share,hac_bw_abs,hac_se_abs,hac_z_abs,hac_p_abs,mean_forecast_revision,mean_raw_changed_rows,fallback_rows_total
GDP,GDPC1,1,early_quarter,Dynamic Factor Model,12,-0.022587375877167842,-0.024939621189595751,0.58333333333333337,2,0.03961940396957931,-0.57010892679029068,0.56860382094037676,0.0045038732289019263,-0.03428748273413329,0.58333333333333337,2,0.022428652325564253,0.20080891011754623,0.84084799557954959,-0.082004340614258694,1237.6666666666667,0
GDP,GDPC1,2,after_month_1,Dynamic Factor Model,12,-0.22829047943528769,-0.001420028356320234,0.5,2,0.19130698953373906,-1.1933201185784494,0.23274402620217627,-0.0017974056152246602,-0.00064983451832056893,0.5,2,0.051406990065249659,-0.034964225933929539,0.97210826698974406,-0.059320498433508707,1167.5,0
GDP,GDPC1,3,after_month_2,Bridge–DFM Ensemble,12,-0.58553763742703635,-0.017018612758038981,0.5,2,0.32143451840676357,-1.8216389463376177,0.068509787402327937,-0.10010435559496911,-0.033013637048013633,0.5,2,0.12122832642300171,-0.82575053660045772,0.40894561815152453,-0.051702667449297114,1128.9166666666667,0
GDP,GDPC1,4,quarter_end,Rolling Bridge–DFM Ensemble,12,-0.3442796980428689,0.007056323293417566,0.5,2,0.22220397713317136,-1.5493858502655651,0.12128899316965169,-0.017502544512535394,-0.0032511392516803017,0.5,2,0.056749209029653226,-0.30841917996407264,0.75776338933937759,0.0049854643356617894,1117.5,0
GDP,GDPC1,5,pre_advance_release,Dynamic Factor Model,12,-0.20084075019778533,-0.014259821832488244,0.5,2,0.21234220884747637,-0.94583526887039004,0.34423261364836932,0.0067324094025628294,-0.020097134821000062,0.5,2,0.042019876774993158,0.16021963697355288,0.87270806114872235,-0.091403594620454207,1022.8333333333334,0
Inflation,CPIAUCSL,1,month_open,Inflation Ridge-AR Ensemble,39,-0.6891203995666686,-0.14245471315458935,0.64102564102564108,3,0.47656833434131507,-1.4460054307198791,0.14817567860785452,-0.085748207987922376,-0.073201309185060737,0.64102564102564108,3,0.073397237358284101,-1.1682756882162713,0.24269557869649172,0.05159532483360104,599.9487179487179,0
Inflation,CPIAUCSL,2,mid_month,Inflation Bridge Ridge,40,-0.19911957195626501,0.098825645134980072,0.47499999999999998,3,0.40492594628105655,-0.49174317868496714,0.6229009097523317,0.056470770190433763,0.07989249677575172,0.47499999999999998,3,0.058975995350083209,0.95752127378642182,0.33830421396042309,0.11168625487710178,584.75,1
Inflation,CPIAUCSL,3,month_end,Inflation Bridge Ridge,40,-0.14540283252878233,0.2099903612124267,0.42499999999999999,3,0.40326398647294293,-0.36056488406146864,0.71842474425333736,0.11383771784355493,0.10599035682262503,0.42499999999999999,3,0.065689663523411906,1.7329624135307524,0.083102349613640047,0.1016372084675877,561.10000000000002,0
Inflation,CPIAUCSL,4,pre_release,Inflation Bridge Ridge,40,-0.180607869905064,0.042773559173538991,0.45000000000000001,3,0.40574474642746838,-0.44512682294790912,0.65622810568730805,0.083555737527799281,0.035728740545842408,0.45000000000000001,3,0.070707873187056972,1.1817034477441206,0.23732338983388956,0.11733336656643219,556.875,0
Inflation,CPILFESL,1,month_open,Inflation 12-Month Mean,39,-0.0046336613479614503,-0.0014372754084036599,0.58974358974358976,3,0.0048221301666876836,-0.9609158583009193,0.33659447645658958,-0.004937554123876144,-0.0037768019685913146,0.58974358974358976,3,0.002208071023115351,-2.2361391785803093,0.025342655779966083,-0.0019461818249684353,599.9487179487179,0
